begdate,enddate,pressconf,scheduled,document,url
5/6/1958,5/6/1958,0,1,Record of Policy Actions (295 KB PDF),/monetarypolicy/files/fomcropa19580506.pdf
5/27/1958,5/27/1958,0,1,Record of Policy Actions (293 KB PDF),/monetarypolicy/files/fomcropa19580527.pdf
6/17/1958,6/17/1958,0,1,Record of Policy Actions (286 KB PDF),/monetarypolicy/files/fomcropa19580617.pdf
7/8/1958,7/8/1958,0,1,Record of Policy Actions (186 KB PDF),/monetarypolicy/files/fomcropa19580708.pdf
7/15/1958,7/15/1958,0,0,Historical Minutes (285 KB PDF),/monetarypolicy/files/fomchistmin19580715.pdf
7/18/1958,7/18/1958,0,0,Record of Policy Actions (281 KB PDF),/monetarypolicy/files/fomcropa19580718.pdf
7/21/1958,7/21/1958,0,0,Historical Minutes (206 KB PDF),/monetarypolicy/files/fomchistmin19580721.pdf
7/22/1958,7/22/1958,0,0,Historical Minutes (321 KB PDF),/monetarypolicy/files/fomchistmin19580722.pdf
7/23/1958,7/23/1958,0,0,Record of Policy Actions (281 KB PDF),/monetarypolicy/files/fomcropa19580723.pdf
7/24/1958,7/24/1958,0,0,Record of Policy Actions (184 KB PDF),/monetarypolicy/files/fomcropa19580724.pdf
7/25/1958,7/25/1958,0,0,Historical Minutes (123 KB PDF),/monetarypolicy/files/fomchistmin19580725.pdf
7/29/1958,7/29/1958,0,1,Record of Policy Actions (277 KB PDF),/monetarypolicy/files/fomcropa19580729.pdf
7/30/1958,7/30/1958,0,0,Historical Minutes (157 KB PDF),/monetarypolicy/files/fomchistmin19580730.pdf
7/31/1958,7/31/1958,0,0,Historical Minutes (167 KB PDF),/monetarypolicy/files/fomchistmin19580731.pdf
8/1/1958,8/1/1958,0,0,Historical Minutes (131 KB PDF),/monetarypolicy/files/fomchistmin19580801.pdf
8/4/1958,8/4/1958,0,0,Record of Policy Actions (183 KB PDF),/monetarypolicy/files/fomcropa19580804.pdf
8/19/1958,8/19/1958,0,1,Record of Policy Actions (288 KB PDF),/monetarypolicy/files/fomcropa19580909.pdf
9/9/1958,9/9/1958,0,1,Record of Policy Actions (288 KB PDF),/monetarypolicy/files/fomcropa19580909.pdf
9/30/1958,9/30/1958,0,1,Record of Policy Actions (188 KB PDF),/monetarypolicy/files/fomcropa19580930.pdf
10/21/1958,10/21/1958,0,1,Record of Policy Actions (285 KB PDF),/monetarypolicy/files/fomcropa19581021.pdf
11/10/1958,11/10/1958,0,1,Record of Policy Actions (283 KB PDF),/monetarypolicy/files/fomcropa19581110.pdf
12/2/1958,12/2/1958,0,1,Record of Policy Actions (185 KB PDF),/monetarypolicy/files/fomcropa19581202.pdf
12/16/1958,12/16/1958,0,1,Record of Policy Actions (351 KB PDF),/monetarypolicy/files/fomcropa19581216.pdf
1/6/1959,1/6/1959,0,1,Record of Policy Actions (307 KB PDF),/monetarypolicy/files/fomcropa19590106.pdf
1/27/1959,1/27/1959,0,1,Record of Policy Actions (200 KB PDF),/monetarypolicy/files/fomcropa19590127.pdf
2/10/1959,2/10/1959,0,1,Record of Policy Actions (300 KB PDF),/monetarypolicy/files/fomcropa19590210.pdf
3/3/1959,3/3/1959,0,1,Record of Policy Actions (301 KB PDF),/monetarypolicy/files/fomcropa19590303.pdf
3/24/1959,3/24/1959,0,1,Record of Policy Actions (306 KB PDF),/monetarypolicy/files/fomcropa19590324.pdf
4/14/1959,4/14/1959,0,1,Record of Policy Actions (306 KB PDF),/monetarypolicy/files/fomcropa19590414.pdf
5/5/1959,5/5/1959,0,1,Record of Policy Actions (202 KB PDF),/monetarypolicy/files/fomcropa19590505.pdf
5/26/1959,5/26/1959,0,1,Record of Policy Actions (316 KB PDF),/monetarypolicy/files/fomcropa19590526.pdf
6/16/1959,6/16/1959,0,1,Record of Policy Actions (317 KB PDF),/monetarypolicy/files/fomcropa19590616.pdf
7/7/1959,7/7/1959,0,1,Record of Policy Actions (314 KB PDF),/monetarypolicy/files/fomcropa19590707.pdf
7/28/1959,7/28/1959,0,1,Record of Policy Actions (307 KB PDF),/monetarypolicy/files/fomcropa19590728.pdf
8/18/1959,8/18/1959,0,1,Record of Policy Actions (219 KB PDF),/monetarypolicy/files/fomcropa19590818.pdf
9/1/1959,9/1/1959,0,1,Record of Policy Actions (310 KB PDF),/monetarypolicy/files/fomcropa19590901.pdf
9/22/1959,9/22/1959,0,1,Record of Policy Actions (320 KB PDF),/monetarypolicy/files/fomcropa19590922.pdf
10/13/1959,10/13/1959,0,1,Record of Policy Actions (317 KB PDF),/monetarypolicy/files/fomcropa19591013.pdf
11/4/1959,11/4/1959,0,1,Record of Policy Actions (305 KB PDF),/monetarypolicy/files/fomcropa19591104.pdf
11/24/1959,11/24/1959,0,1,Record of Policy Actions (200 KB PDF),/monetarypolicy/files/fomcropa19591124.pdf
12/15/1959,12/15/1959,0,1,Record of Policy Actions (387 KB PDF),/monetarypolicy/files/fomcropa19591215.pdf
1/12/1960,1/12/1960,0,1,Record of Policy Actions (285 KB PDF),/monetarypolicy/files/fomcropa19600112.pdf
1/26/1960,1/26/1960,0,1,Record of Policy Actions (194 KB PDF),/monetarypolicy/files/fomcropa19600126.pdf
2/9/1960,2/9/1960,0,1,Record of Policy Actions (282 KB PDF),/monetarypolicy/files/fomcropa19600209.pdf
3/1/1960,3/1/1960,0,1,Record of Policy Actions (375 KB PDF),/monetarypolicy/files/fomcropa19600301.pdf
3/22/1960,3/22/1960,0,1,Record of Policy Actions (376 KB PDF),/monetarypolicy/files/fomcropa19600322.pdf
4/12/1960,4/12/1960,0,1,Record of Policy Actions (378 KB PDF),/monetarypolicy/files/fomcropa19600412.pdf
5/3/1960,5/3/1960,0,1,Record of Policy Actions (279 KB PDF),/monetarypolicy/files/fomcropa19600503.pdf
5/24/1960,5/24/1960,0,1,Record of Policy Actions (279 KB PDF),/monetarypolicy/files/fomcropa19600524.pdf
6/14/1960,6/14/1960,0,1,Record of Policy Actions (285 KB PDF),/monetarypolicy/files/fomcropa19600614.pdf
7/6/1960,7/6/1960,0,1,Record of Policy Actions (272 KB PDF),/monetarypolicy/files/fomcropa19600706.pdf
7/26/1960,7/26/1960,0,1,Record of Policy Actions (177 KB PDF),/monetarypolicy/files/fomcropa19600726.pdf
8/16/1960,8/16/1960,0,1,Record of Policy Actions (280 KB PDF),/monetarypolicy/files/fomcropa19600816.pdf
9/13/1960,9/13/1960,0,1,Record of Policy Actions (290 KB PDF),/monetarypolicy/files/fomcropa19600913.pdf
10/4/1960,10/4/1960,0,1,Record of Policy Actions (280 KB PDF),/monetarypolicy/files/fomcropa19601004.pdf
10/25/1960,10/25/1960,0,1,Record of Policy Actions (374 KB PDF),/monetarypolicy/files/fomcropa19601025.pdf
11/22/1960,11/22/1960,0,1,Record of Policy Actions (278 KB PDF),/monetarypolicy/files/fomcropa19601122.pdf
12/13/1960,12/13/1960,0,1,Record of Policy Actions (259 KB PDF),/monetarypolicy/files/fomcropa19601213.pdf
1/10/1961,1/10/1961,0,1,Record of Policy Actions (262 KB PDF),/monetarypolicy/files/fomcropa19610110.pdf
1/24/1961,1/24/1961,0,1,Record of Policy Actions (161 KB PDF),/monetarypolicy/files/fomcropa19610124.pdf
2/7/1961,2/7/1961,0,1,Record of Policy Actions (447 KB PDF),/monetarypolicy/files/fomcropa19610207.pdf
3/7/1961,3/7/1961,0,1,Record of Policy Actions (533 KB PDF),/monetarypolicy/files/fomcropa19610307.pdf
3/28/1961,3/28/1961,0,1,Record of Policy Actions (354 KB PDF),/monetarypolicy/files/fomcropa19610328.pdf
4/18/1961,4/18/1961,0,1,Record of Policy Actions (344 KB PDF),/monetarypolicy/files/fomcropa19610418.pdf
5/9/1961,5/9/1961,0,1,Record of Policy Actions (353 KB PDF),/monetarypolicy/files/fomcropa19610509.pdf
6/6/1961,6/6/1961,0,1,Record of Policy Actions (256 KB PDF),/monetarypolicy/files/fomcropa19610606.pdf
6/20/1961,6/20/1961,0,1,Record of Policy Actions (247 KB PDF),/monetarypolicy/files/fomcropa19610620.pdf
7/11/1961,7/11/1961,0,1,Record of Policy Actions (337 KB PDF),/monetarypolicy/files/fomcropa19610711.pdf
8/1/1961,8/1/1961,0,1,Record of Policy Actions (243 KB PDF),/monetarypolicy/files/fomcropa19610801.pdf
8/22/1961,8/22/1961,0,1,Record of Policy Actions (348 KB PDF),/monetarypolicy/files/fomcropa19610822.pdf
